,Day,Cluster_2_Expression
0,0,645
1,0,531
2,0,443
3,0,658
4,0,685
5,0,779
6,2,327
7,2,206
8,2,591
9,4,540
10,4,797
11,4,1004
12,6,535
13,6,427
14,6,595
15,0,965
16,0,437
17,0,513
18,0,491
19,0,494
20,0,335
21,2,266
22,2,170
23,2,436
24,4,429
25,4,589
26,4,1174
27,6,948
28,6,497
29,6,555
30,0,782
31,0,557
32,0,528
33,0,422
34,0,409
35,0,672
36,2,529
37,2,573
38,2,1602
39,4,1188
40,4,1559
41,4,2686
42,6,2098
43,6,1882
44,6,2489
45,0,293
46,0,329
47,0,423
48,0,128
49,0,124
50,0,262
51,2,317
52,2,644
53,2,1883
54,4,804
55,4,1049
56,4,2362
57,6,885
58,6,693
59,6,725
60,0,574
61,0,390
62,0,494
63,0,278
64,0,217
65,0,611
66,2,340
67,2,589
68,2,1645
69,4,958
70,4,1270
71,4,2323
72,6,1453
73,6,1128
74,6,1557
75,0,788
76,0,567
77,0,525
78,0,524
79,0,494
80,0,693
81,2,541
82,2,428
83,2,945
84,4,778
85,4,1444
86,4,1675
87,6,1039
88,6,650
89,6,865
90,0,590
91,0,518
92,0,370
93,0,489
94,0,488
95,0,735
96,2,538
97,2,363
98,2,769
99,4,516
100,4,606
101,4,1042
102,6,806
103,6,378
104,6,674
105,0,829
106,0,719
107,0,572
108,0,541
109,0,626
110,0,786
111,2,368
112,2,170
113,2,483
114,4,263
115,4,469
116,4,591
117,6,582
118,6,219
119,6,456
120,0,321
121,0,242
122,0,226
123,0,236
124,0,152
125,0,256
126,2,136
127,2,124
128,2,392
129,4,357
130,4,494
131,4,843
132,6,745
133,6,523
134,6,542
135,0,283
136,0,239
137,0,183
138,0,113
139,0,192
140,0,245
141,2,198
142,2,243
143,2,731
144,4,353
145,4,463
146,4,897
147,6,488
148,6,273
149,6,361
150,0,452
151,0,306
152,0,299
153,0,237
154,0,287
155,0,342
156,2,317
157,2,338
158,2,984
159,4,597
160,4,834
161,4,1495
162,6,1149
163,6,1304
164,6,1107
165,0,239
166,0,213
167,0,206
168,0,212
169,0,194
170,0,290
171,2,188
172,2,109
173,2,269
174,4,123
175,4,233
176,4,200
177,6,282
178,6,74
179,6,128
180,0,1003
181,0,631
182,0,530
183,0,386
184,0,388
185,0,585
186,2,229
187,2,220
188,2,695
189,4,305
190,4,514
191,4,767
192,6,984
193,6,645
194,6,725
195,0,1260
196,0,816
197,0,851
198,0,627
199,0,620
200,0,894
201,2,385
202,2,261
203,2,883
204,4,562
205,4,1034
206,4,1384
207,6,1017
208,6,647
209,6,714
210,0,773
211,0,540
212,0,509
213,0,275
214,0,214
215,0,698
216,2,315
217,2,557
218,2,1097
219,4,885
220,4,1580
221,4,2194
222,6,1615
223,6,1462
224,6,1552
225,0,817
226,0,641
227,0,501
228,0,591
229,0,648
230,0,1028
231,2,548
232,2,331
233,2,786
234,4,650
235,4,1244
236,4,1452
237,6,1222
238,6,753
239,6,1086
240,0,548
241,0,486
242,0,357
243,0,247
244,0,131
245,0,321
246,2,407
247,2,795
248,2,1869
249,4,1018
250,4,2159
251,4,3526
252,6,1566
253,6,1041
254,6,978
255,0,736
256,0,529
257,0,414
258,0,375
259,0,415
260,0,567
261,2,302
262,2,363
263,2,1056
264,4,614
265,4,869
266,4,1440
267,6,1573
268,6,983
269,6,1219
