,Day,Cluster_4_Expression
0,0,5
1,0,7
2,0,16
3,0,13
4,0,12
5,2,1192
6,2,4045
7,2,1837
8,4,3608
9,4,5275
10,4,5489
11,6,4489
12,6,13534
13,6,22364
14,0,8
15,0,15
16,0,1
17,0,5
18,0,16
19,2,1572
20,2,4264
21,2,2239
22,4,6375
23,4,5909
24,4,7693
25,6,3516
26,6,10650
27,6,12360
28,0,50
29,0,12
30,0,43
31,0,35
32,0,31
33,2,2152
34,2,5069
35,2,3248
36,4,4889
37,4,5058
38,4,7521
39,6,5353
40,6,14566
41,6,18020
42,0,36
43,0,27
44,0,78
45,0,34
46,0,13
47,2,364
48,2,703
49,2,428
50,4,1031
51,4,918
52,4,1359
53,6,1827
54,6,3180
55,6,4299
