,Day,Cluster_7_Expression
0,0,47358
1,0,31670
2,0,75911
3,0,37688
4,0,31660
5,2,84839
6,2,89165
7,2,92066
8,4,147231
9,4,179777
10,4,172820
11,6,87199
12,6,176255
13,6,200547
14,0,55395
15,0,38157
16,0,75018
17,0,45058
18,0,32235
19,2,82337
20,2,89005
21,2,80766
22,4,62982
23,4,64915
24,4,59101
25,6,33147
26,6,61564
27,6,63371
28,0,23472
29,0,18000
30,0,34618
31,0,23224
32,0,16958
33,2,31029
34,2,28350
35,2,33978
36,4,17719
37,4,23278
38,4,14713
39,6,8064
40,6,15688
41,6,14706
42,0,24593
43,0,17713
44,0,42495
45,0,21404
46,0,19670
47,2,45288
48,2,51098
49,2,55951
50,4,42437
51,4,45746
52,4,37710
53,6,20903
54,6,49398
55,6,42805
56,0,11032
57,0,8538
58,0,20685
59,0,10659
60,0,9470
61,2,34046
62,2,45243
63,2,42790
64,4,51216
65,4,63139
66,4,60037
67,6,27082
68,6,63453
69,6,61821
70,0,37678
71,0,28045
72,0,39679
73,0,32946
74,0,23690
75,2,60407
76,2,54697
77,2,74350
78,4,31088
79,4,24255
80,4,17510
81,6,8616
82,6,14436
83,6,6494
84,0,6509
85,0,4818
86,0,10769
87,0,5986
88,0,4258
89,2,23181
90,2,31534
91,2,32414
92,4,51279
93,4,64583
94,4,63281
95,6,24494
96,6,62487
97,6,69135
98,0,21653
99,0,17452
100,0,37990
101,0,20236
102,0,15824
103,2,58431
104,2,67663
105,2,70432
106,4,89109
107,4,106499
108,4,104799
109,6,36741
110,6,93633
111,6,99409
112,0,13741
113,0,10147
114,0,26168
115,0,13525
116,0,9566
117,2,32002
118,2,44040
119,2,35935
120,4,36828
121,4,41317
122,4,36451
123,6,29395
124,6,63442
125,6,71245
126,0,19842
127,0,16269
128,0,33645
129,0,19549
130,0,18747
131,2,32427
132,2,32600
133,2,38720
134,4,39744
135,4,58432
136,4,55516
137,6,24505
138,6,58220
139,6,64547
140,0,7826
141,0,6328
142,0,12493
143,0,7805
144,0,4953
145,2,36520
146,2,57573
147,2,44351
148,4,48784
149,4,53434
150,4,51760
151,6,27361
152,6,59712
153,6,53676
154,0,13556
155,0,9824
156,0,22844
157,0,12465
158,0,10086
159,2,30022
160,2,36391
161,2,36131
162,4,36560
163,4,41882
164,4,42215
165,6,21074
166,6,51882
167,6,55723
168,0,61163
169,0,52819
170,0,108341
171,0,63385
172,0,58423
173,2,79030
174,2,49856
175,2,77068
176,4,47019
177,4,47608
178,4,30053
179,6,12024
180,6,26163
181,6,25292
