,Day,Cluster_2_Expression
0,0,654
1,0,539
2,0,1152
3,0,602
4,0,462
5,2,863
6,2,766
7,2,966
8,4,780
9,4,809
10,4,555
11,6,249
12,6,650
13,6,538
14,0,628
15,0,391
16,0,1452
17,0,717
18,0,249
19,2,713
20,2,755
21,2,628
22,4,522
23,4,403
24,4,234
25,6,186
26,6,329
27,6,207
28,0,373
29,0,280
30,0,781
31,0,381
32,0,172
33,2,944
34,2,1298
35,2,1122
36,4,1377
37,4,1567
38,4,1613
39,6,863
40,6,2190
41,6,2667
42,0,345
43,0,240
44,0,305
45,0,181
46,0,142
47,2,524
48,2,1313
49,2,796
50,4,995
51,4,1202
52,4,1246
53,6,462
54,6,1111
55,6,1015
56,0,299
57,0,142
58,0,338
59,0,199
60,0,108
61,2,718
62,2,1139
63,2,739
64,4,1288
65,4,1246
66,4,1411
67,6,754
68,6,1742
69,6,2671
70,0,500
71,0,340
72,0,810
73,0,544
74,0,276
75,2,897
76,2,1201
77,2,1199
78,4,941
79,4,1138
80,4,995
81,6,447
82,6,1029
83,6,968
84,0,632
85,0,351
86,0,699
87,0,446
88,0,261
89,2,1001
90,2,802
91,2,1115
92,4,513
93,4,682
94,4,456
95,6,231
96,6,540
97,6,728
98,0,659
99,0,585
100,0,1009
101,0,596
102,0,473
103,2,961
104,2,664
105,2,1011
106,4,412
107,4,427
108,4,222
109,6,129
110,6,227
111,6,158
112,0,247
113,0,99
114,0,564
115,0,272
116,0,108
117,2,314
118,2,314
119,2,273
120,4,358
121,4,304
122,4,306
123,6,224
124,6,414
125,6,518
126,0,222
127,0,205
128,0,368
129,0,181
130,0,118
131,2,451
132,2,580
133,2,493
134,4,567
135,4,649
136,4,530
137,6,179
138,6,469
139,6,462
140,0,316
141,0,292
142,0,539
143,0,320
144,0,135
145,2,714
146,2,845
147,2,752
148,4,799
149,4,1194
150,4,957
151,6,663
152,6,1778
153,6,1826
154,0,240
155,0,140
156,0,300
157,0,198
158,0,115
159,2,316
160,2,298
161,2,433
162,4,149
163,4,158
164,4,153
165,6,84
166,6,146
167,6,97
168,0,461
169,0,298
170,0,972
171,0,490
172,0,151
173,2,433
174,2,431
175,2,618
176,4,282
177,4,290
178,4,257
179,6,279
180,6,583
181,6,693
182,0,684
183,0,510
184,0,1185
185,0,702
186,0,377
187,2,935
188,2,796
189,2,1022
190,4,774
191,4,972
192,4,604
193,6,381
194,6,762
195,6,715
196,0,176
197,0,191
198,0,327
199,0,222
200,0,97
201,2,557
202,2,942
203,2,664
204,4,1165
205,4,1545
206,4,1571
207,6,1153
208,6,2189
209,6,2262
210,0,635
211,0,447
212,0,1115
213,0,517
214,0,515
215,2,957
216,2,900
217,2,1163
218,4,981
219,4,869
220,4,877
221,6,427
222,6,1126
223,6,1026
224,0,200
225,0,152
226,0,244
227,0,163
228,0,91
229,2,1136
230,2,2284
231,2,1477
232,4,1950
233,4,3308
234,4,2745
235,6,896
236,6,2530
237,6,2918
238,0,385
239,0,322
240,0,859
241,0,484
242,0,233
243,2,725
244,2,551
245,2,720
246,4,668
247,4,632
248,4,627
249,6,347
250,6,956
251,6,1142
