,Day,Cluster_6_Expression
0,0,3409
1,0,3185
2,0,2576
3,0,2056
4,0,2107
5,0,3548
6,2,1691
7,2,1593
8,2,4330
9,4,3012
10,4,4609
11,4,6539
12,6,4645
13,6,3226
14,6,4517
15,0,1481
16,0,1141
17,0,1094
18,0,714
19,0,864
20,0,1178
21,2,596
22,2,760
23,2,2621
24,4,3762
25,4,4233
26,4,8494
27,6,5171
28,6,5824
29,6,6810
30,0,2934
31,0,2416
32,0,2038
33,0,2137
34,0,2667
35,0,3374
36,2,2221
37,2,2129
38,2,5706
39,4,3619
40,4,4626
41,4,9769
42,6,4633
43,6,3688
44,6,4030
45,0,2354
46,0,2144
47,0,1692
48,0,1737
49,0,2629
50,0,2440
51,2,1242
52,2,899
53,2,2645
54,4,1812
55,4,2091
56,4,4595
57,6,3556
58,6,3834
59,6,4603
60,0,3550
61,0,2256
62,0,2057
63,0,1514
64,0,1739
65,0,3256
66,2,2562
67,2,2756
68,2,6104
69,4,2548
70,4,4105
71,4,7655
72,6,9452
73,6,7069
74,6,8490
75,0,3639
76,0,2712
77,0,2511
78,0,2127
79,0,2437
80,0,3433
81,2,1986
82,2,1906
83,2,4861
84,4,3044
85,4,4410
86,4,6596
87,6,5032
88,6,3349
89,6,4322
90,0,3200
91,0,2670
92,0,2295
93,0,2223
94,0,2422
95,0,3220
96,2,1876
97,2,1532
98,2,3813
99,4,2518
100,4,3951
101,4,5260
102,6,4712
103,6,3463
104,6,4133
105,0,1890
106,0,1482
107,0,1465
108,0,1080
109,0,1537
110,0,1615
111,2,1082
112,2,1139
113,2,3877
114,4,3879
115,4,4643
116,4,8129
117,6,9121
118,6,8690
119,6,11278
120,0,3622
121,0,2917
122,0,2368
123,0,1665
124,0,1557
125,0,3508
126,2,1741
127,2,1589
128,2,3515
129,4,2253
130,4,3312
131,4,5273
132,6,5918
133,6,4177
134,6,5775
135,0,2599
136,0,1956
137,0,2578
138,0,2068
139,0,1875
140,0,2903
141,2,2903
142,2,2608
143,2,5787
144,4,4602
145,4,7708
146,4,11487
147,6,6720
148,6,5360
149,6,5933
150,0,1870
151,0,1785
152,0,1441
153,0,1821
154,0,1106
155,0,2033
156,2,1233
157,2,1012
158,2,2657
159,4,2155
160,4,4119
161,4,5635
162,6,4080
163,6,2917
164,6,3116
165,0,2245
166,0,1778
167,0,1894
168,0,847
169,0,662
170,0,1857
171,2,1062
172,2,1290
173,2,4582
174,4,3133
175,4,3968
176,4,7774
177,6,3944
178,6,3535
179,6,3982
180,0,1712
181,0,1139
182,0,1104
183,0,875
184,0,1051
185,0,1268
186,2,914
187,2,1147
188,2,4117
189,4,3088
190,4,4021
191,4,7414
192,6,5816
193,6,5297
194,6,6203
195,0,2350
196,0,1605
197,0,1572
198,0,947
199,0,916
200,0,1931
201,2,980
202,2,1192
203,2,3246
204,4,2832
205,4,3811
206,4,6670
207,6,3914
208,6,4550
209,6,4689
210,0,1643
211,0,1414
212,0,1884
213,0,1522
214,0,1368
215,0,2347
216,2,2367
217,2,2784
218,2,6113
219,4,4434
220,4,8484
221,4,11616
222,6,5935
223,6,3983
224,6,4710
225,0,3178
226,0,2042
227,0,1705
228,0,1508
229,0,1528
230,0,2237
231,2,1222
232,2,1228
233,2,3636
234,4,2205
235,4,3246
236,4,5310
237,6,4871
238,6,4014
239,6,4495
240,0,2830
241,0,1801
242,0,1414
243,0,1158
244,0,1095
245,0,2003
246,2,1110
247,2,1276
248,2,3292
249,4,2826
250,4,3533
251,4,6196
252,6,4533
253,6,4804
254,6,5416
255,0,1887
256,0,1513
257,0,1848
258,0,1340
259,0,1205
260,0,1950
261,2,1911
262,2,2098
263,2,5379
264,4,3755
265,4,4880
266,4,8632
267,6,4516
268,6,3192
269,6,3745
270,0,2335
271,0,1798
272,0,1992
273,0,1470
274,0,1723
275,0,2117
276,2,1302
277,2,1478
278,2,3839
279,4,1935
280,4,2827
281,4,5228
282,6,2655
283,6,1733
284,6,2538
285,0,1904
286,0,1642
287,0,1620
288,0,1351
289,0,1173
290,0,2026
291,2,1950
292,2,1963
293,2,4263
294,4,2941
295,4,5496
296,4,6977
297,6,4868
298,6,3819
299,6,4346
300,0,3031
301,0,1691
302,0,1568
303,0,1743
304,0,1542
305,0,2127
306,2,2271
307,2,2846
308,2,6279
309,4,3551
310,4,4587
311,4,9001
312,6,8013
313,6,6180
314,6,6127
315,0,4192
316,0,3758
317,0,3012
318,0,3070
319,0,2877
320,0,4372
321,2,2272
322,2,1535
323,2,3692
324,4,2680
325,4,5100
326,4,5963
327,6,4427
328,6,3173
329,6,4150
330,0,3744
331,0,3515
332,0,2556
