Gene Symbol
TRIM25
TRIM21
TRIM26
TRIM14
TRIM12c
IFIT3
IFIT2
IFITM1
IFITM2
IFITM3
IFI27
IFI35
IFI27
IFIh1
IFI30
IFI44
IFI44L
BST2
WARS
TRAFD1
ISG20
DHX58
PARP9
ISG15
USP18
UBA7
HERC6
